dataset,glove_accuracy
I01 [noun - plural_reg].txt,0.8824489795918368
I02 [noun - plural_irreg].txt,0.7020408163265306
I03 [adj - comparative].txt,0.6595918367346939
I04 [adj - superlative].txt,0.5061224489795918
I05 [verb_inf - 3pSg].txt,0.9804081632653061
I06 [verb_inf - Ving].txt,0.8351020408163266
I07 [verb_inf - Ved].txt,0.8616326530612245
I08 [verb_Ving - 3pSg].txt,0.7036734693877551
I09 [verb_Ving - Ved].txt,0.7804081632653062
I10 [verb_3pSg - Ved].txt,0.8110204081632653
D01 [noun+less_reg].txt,0.005714285714285714
D02 [un+adj_reg].txt,0.2763265306122449
D03 [adj+ly_reg].txt,0.27755102040816326
D04 [over+adj_reg].txt,0.03836734693877551
D05 [adj+ness_reg].txt,0.10653061224489796
D06 [re+verb_reg].txt,0.1893877551020408
D07 [verb+able_reg].txt,0.03918367346938775
D08 [verb+er_irreg].txt,0.0473469387755102
D09 [verb+tion_irreg].txt,0.20081632653061224
D10 [verb+ment_irreg].txt,0.19183673469387755
E01 [country - capital].txt,0.9906122448979592
E02 [country - language].txt,0.5228571428571429
E03 [UK_city - county].txt,0.32857142857142857
E04 [name - nationality].txt,0.42122448979591837
E05 [name - occupation].txt,0.5546938775510204
E06 [animal - young].txt,0.10979591836734694
E07 [animal - sound].txt,0.05102040816326531
E08 [animal - shelter].txt,0.1926530612244898
E09 [things - color].txt,0.509795918367347
E10 [male - female].txt,0.47346938775510206
L01 [hypernyms - animals].txt,0.12653061224489795
L02 [hypernyms - misc].txt,0.10693877551020409
L03 [hyponyms - misc].txt,0.3195918367346939
L04 [meronyms - substance].txt,0.1873469387755102
L05 [meronyms - member].txt,0.11755102040816326
L06 [meronyms - part].txt,0.1893877551020408
L07 [synonyms - intensity].txt,0.2795918367346939
L08 [synonyms - exact].txt,0.38816326530612244
L09 [antonyms - gradable].txt,0.24244897959183673
L10 [antonyms - binary].txt,0.32285714285714284
