詞條,定義,反義詞
609,指稱政治立場偏向綠營的鄉民。,9.20%
609,指稱政治立場偏向綠營的鄉民。,689
609,指稱政治立場偏向綠營的鄉民。,9.20%
609,指稱政治立場偏向綠營的鄉民。,689
689,指稱政治立場偏向藍營的鄉民。,609
689,指稱政治立場偏向藍營的鄉民。,綠吱
689,指稱政治立場偏向藍營的鄉民。,吱吱
689,指稱政治立場偏向藍營的鄉民。,609
689,指稱政治立場偏向藍營的鄉民。,綠吱
689,指稱政治立場偏向藍營的鄉民。,吱吱
9.20%,指稱政治立場偏向藍營的鄉民。,吱吱
9.20%,指稱政治立場偏向藍營的鄉民。,綠吱
9.20%,指稱政治立場偏向藍營的鄉民。,609
9.20%,指稱政治立場偏向藍營的鄉民。,吱吱
9.20%,指稱政治立場偏向藍營的鄉民。,綠吱
9.20%,指稱政治立場偏向藍營的鄉民。,609
一,事物的全體。,部分
一,事物的全體。,部份
一,事物的全體。,部分
一,事物的全體。,部份
一樣,形容沒有差別的。,異
一樣,形容沒有差別的。,不同
一樣,形容沒有差別的。,異
一樣,形容沒有差別的。,不同
一樣,形容沒有差別的。,異
一樣,形容沒有差別的。,不同
丁,成年男子。,女人
丁,成年男子。,婦
丁,成年男子。,女人
丁,成年男子。,婦
丁,從事前述勞動工作的男子。,婦
丁,從事前述勞動工作的男子。,婦
丈夫,對女子在婚姻關係中的配偶的指稱。,妻子
丈夫,對女子在婚姻關係中的配偶的指稱。,太太
丈夫,對女子在婚姻關係中的配偶的指稱。,房
丈夫,對女子在婚姻關係中的配偶的指稱。,妻
丈夫,對女子在婚姻關係中的配偶的指稱。,婦
丈夫,對女子在婚姻關係中的配偶的指稱。,室
丈夫,對女子在婚姻關係中的配偶的指稱。,室
丈夫,對女子在婚姻關係中的配偶的指稱。,太太
丈夫,對女子在婚姻關係中的配偶的指稱。,妻子
丈夫,對女子在婚姻關係中的配偶的指稱。,房
丈夫,對女子在婚姻關係中的配偶的指稱。,婦
丈夫,對女子在婚姻關係中的配偶的指稱。,妻
丈夫,女子在婚姻關係中的配偶。,妻子
丈夫,女子在婚姻關係中的配偶。,太太
丈夫,女子在婚姻關係中的配偶。,妻
丈夫,女子在婚姻關係中的配偶。,太太
丈夫,女子在婚姻關係中的配偶。,妻子
丈夫,女子在婚姻關係中的配偶。,妻
上,前述物體的表面。,下面
上,前述物體的表面。,下
上,前述物體的表面。,之下
上,前述物體的表面。,下面
上,前述物體的表面。,之下
上,前述物體的表面。,下
上,同一物體內較高的部份。,下
上,同一物體內較高的部份。,下面
上,同一物體內較高的部份。,下面
上,同一物體內較高的部份。,下
上,高於前述物體的位置。,下
上,高於前述物體的位置。,之下
上,高於前述物體的位置。,下面
上,高於前述物體的位置。,以下
上,高於前述物體的位置。,下
上,高於前述物體的位置。,之下
上,高於前述物體的位置。,下面
上,高於前述物體的位置。,以下
上,高於前述物體的位置。,下
上,高於前述物體的位置。,之下
上,高於前述物體的位置。,下面
上,高於前述物體的位置。,以下
上,較高的或向天的方向。,下
上,較高的或向天的方向。,下
上,較高的或向天的方向。,下面
上,較高的或向天的方向。,下面
上,比喻地位或等級較高的人物。,下
上,比喻地位或等級較高的人物。,下面
上,比喻地位或等級較高的人物。,下
上,比喻地位或等級較高的人物。,下面
上,比喻階級架構較高的方向。,下
上,比喻階級架構較高的方向。,下面
上,比喻階級架構較高的方向。,下
上,比喻階級架構較高的方向。,下面
上,比喻順序較前的方向。,下
上,比喻順序較前的方向。,下面
上,比喻順序較前的方向。,下
上,比喻順序較前的方向。,下面
上,等級或質量最高的。,下
上,等級或質量最高的。,下
上,比喻數量較多的方向。,下
上,比喻數量較多的方向。,下面
上,比喻數量較多的方向。,下
上,比喻數量較多的方向。,下面
上,事件或時間順序在參考點之前。,下
上,事件或時間順序在參考點之前。,次
上,事件或時間順序在參考點之前。,下
上,事件或時間順序在參考點之前。,次
上,順序在參考點之前的文本。,下
上,順序在參考點之前的文本。,稍後
上,順序在參考點之前的文本。,下面
上,順序在參考點之前的文本。,以下
上,順序在參考點之前的文本。,下
上,順序在參考點之前的文本。,稍後
上,順序在參考點之前的文本。,下面
上,順序在參考點之前的文本。,以下
上,往高處移動或去。,下
上,往北或接近中心移動。,下
上,往北或接近中心移動。,下
上,做階層較高的工作。,下
上,做階層較高的工作。,下
上,到後述處所進行該場所的典型活動。,下
上,到後述處所進行該場所的典型活動。,下
上,將物體放在發揮功能的處所。,下
上,從球場或舞台出場。,下
上,從球場或舞台出場。,下
上,搭乘或裝入運輸工具。,下
上,搭乘或裝入運輸工具。,下
上,比喻程度較高的方向。,下
上,比喻程度較高的方向。,下面
上,比喻程度較高的方向。,下面
上,比喻程度較高的方向。,下
上升,位置往高處移動。,下降
上升,位置往高處移動。,下降
上升,位置往高處移動。,降
上升,數量或數目增加。,下降
上升,數量或數目增加。,下降
上升,數量或數目增加。,落
上升,數量或數目增加。,掉
上升,數量或數目增加。,跌
上升,數量或數目增加。,降
上升,數量或數目增加。,降低
上升,數量或數目增加。,降低
上升,狀態的等級或地位增高。,下降
上升,狀態的等級或地位增高。,下降
上去,往高處移動。,下
上去,往高處移動。,下
上台,進行表演或演講。,下台
上台,進行表演或演講。,下臺
上台,進行表演或演講。,下台
上台,進行表演或演講。,下臺
上台,出任職務或掌權。,下臺
上台,出任職務或掌權。,下台
上台,出任職務或掌權。,下台
上台,出任職務或掌權。,下臺
上山,從山的低處向高處移動。,下山
上山,從山的低處向高處移動。,下山
上昇,位置往高處移動。,下降
上昇,位置往高處移動。,下降
上昇,位置往高處移動。,降
上昇,數量或數目增加。,下降
上昇,數量或數目增加。,下降
上昇,數量或數目增加。,落
上昇,數量或數目增加。,掉
上昇,數量或數目增加。,跌
上昇,數量或數目增加。,降
上昇,數量或數目增加。,降低
上昇,數量或數目增加。,降低
上昇,狀態的等級或地位增高。,下降
上昇,狀態的等級或地位增高。,下降
上臺,進行表演或演講。,下臺
上臺,進行表演或演講。,下台
上臺,進行表演或演講。,下台
上臺,進行表演或演講。,下臺
上臺,出任職務或掌權。,下臺
上臺,出任職務或掌權。,下台
上臺,出任職務或掌權。,下台
上臺,出任職務或掌權。,下臺
上面,前述物體的表面。,下面
上面,前述物體的表面。,下
上面,前述物體的表面。,之下
上面,前述物體的表面。,下面
上面,前述物體的表面。,之下
上面,前述物體的表面。,下
上面,同一物體內較高的部份。,下
上面,同一物體內較高的部份。,下面
上面,同一物體內較高的部份。,下面
上面,同一物體內較高的部份。,下
上面,高於前述物體的位置。,下
上面,高於前述物體的位置。,之下
上面,高於前述物體的位置。,下面
上面,高於前述物體的位置。,以下
上面,高於前述物體的位置。,下
上面,高於前述物體的位置。,之下
上面,高於前述物體的位置。,下面
上面,高於前述物體的位置。,以下
上面,高於前述物體的位置。,之下
上面,高於前述物體的位置。,下
上面,高於前述物體的位置。,下面
上面,高於前述物體的位置。,以下
上面,較高的或向天的方向。,下面
上面,較高的或向天的方向。,下面
上面,較高的或向天的方向。,下
上面,較高的或向天的方向。,下
上面,地位或等級較高的人物。,下
上面,地位或等級較高的人物。,下面
上面,地位或等級較高的人物。,下
上面,地位或等級較高的人物。,下面
上面,比喻階級架構較高的方向。,下
上面,比喻階級架構較高的方向。,下面
上面,比喻階級架構較高的方向。,下
上面,比喻階級架構較高的方向。,下面
上面,比喻順序較前的方向。,下
上面,比喻順序較前的方向。,下面
上面,比喻順序較前的方向。,下
上面,比喻順序較前的方向。,下面
上面,比喻數量較多的方向。,下
上面,比喻數量較多的方向。,下面
上面,比喻數量較多的方向。,下
上面,比喻數量較多的方向。,下面
上面,比喻程度較高的方向。,下
上面,比喻程度較高的方向。,下面
上面,比喻程度較高的方向。,下面
上面,比喻程度較高的方向。,下
上面,順序在參考點之前的文本。,下
上面,順序在參考點之前的文本。,下面
上面,順序在參考點之前的文本。,稍後
上面,順序在參考點之前的文本。,以下
上面,順序在參考點之前的文本。,下面
上面,順序在參考點之前的文本。,下
上面,順序在參考點之前的文本。,稍後
上面,順序在參考點之前的文本。,以下
下,同一物體內較低的部份。,上
下,同一物體內較低的部份。,上面
下,同一物體內較低的部份。,上
下,同一物體內較低的部份。,上面
下,同一物體內較低的部份。,上面
下,鄰近前述物體的底部或低於該物體位置。,上
下,鄰近前述物體的底部或低於該物體位置。,之上
下,鄰近前述物體的底部或低於該物體位置。,上面
下,鄰近前述物體的底部或低於該物體位置。,以上
下,較低的或與天相反的方向。,上
下,較低的或與天相反的方向。,上
下,較低的或與天相反的方向。,上面
下,比喻地位或等級較低的人物。,上
下,比喻地位或等級較低的人物。,上面
下,比喻地位或等級較低的人物。,上
下,比喻地位或等級較低的人物。,上面
下,比喻階級架構較低的方向。,上
下,比喻階級架構較低的方向。,上面
下,比喻階級架構較低的方向。,上
下,比喻階級架構較低的方向。,上面
下,比喻階級架構中低於前述階級的階級。,以上
下,比喻階級架構中低於前述階級的階級。,以上
下,比喻順序較後的方向。,上
下,比喻順序較後的方向。,上面
下,比喻順序較後的方向。,上
下,比喻順序較後的方向。,上面
下,等級或品質最低的。,上
下,等級或品質最低的。,上
下,比喻數量較少的方向。,上
下,比喻數量較少的方向。,上面
下,比喻數量較少的方向。,上
下,比喻數量較少的方向。,上面
下,事件或時間順序在參考點之後。,上
下,事件或時間順序在參考點之後。,上
下,比喻在參考點之後的文本順序。,上
下,比喻在參考點之後的文本順序。,上面
下,比喻在參考點之後的文本順序。,以上
下,比喻在參考點之後的文本順序。,上
下,比喻在參考點之後的文本順序。,上面
下,比喻在參考點之後的文本順序。,以上
下,往低處移動。,上
下,往低處移動。,上去
下,往低處移動。,上
下,往低處移動。,上
下,往低處移動。,上去
下,往南或離開中心移動。,上
下,往南或離開中心移動。,上
下,做階層較低的工作。,上
下,做階層較低的工作。,上
下,使人或物離開運輸工具並到某處。,上
下,使人或物離開運輸工具並到某處。,上
下,使人或物離開運輸工具並到某處。,登
下,離開後述處所，並結束該場所的典型活動。,上
下,離開後述處所，並結束該場所的典型活動。,上
下,從球場或舞台退場。,上
下,從球場或舞台退場。,上
下,從後述地點移除，不使發揮功能。,上
下,從後述地點移除，不使發揮功能。,上
下,從後述地點移除，不使發揮功能。,上
下,被前述物體覆蓋住的物體的位置。,上
下,被前述物體覆蓋住的物體的位置。,上面
下,被前述物體覆蓋住的物體的位置。,上面
下,被前述物體覆蓋住的物體的位置。,上
下,比喻程度較低的方向。,上
下,比喻程度較低的方向。,上面
下,比喻程度較低的方向。,上面
下,比喻程度較低的方向。,上
下台,結束表演，從台上下來。,上台
下台,結束表演，從台上下來。,上臺
下台,結束表演，從台上下來。,登台
下台,結束表演，從台上下來。,登臺
下台,結束表演，從台上下來。,上臺
下台,結束表演，從台上下來。,上台
下台,結束表演，從台上下來。,登台
下台,結束表演，從台上下來。,登臺
下台,交出職務或政權。,上臺
下台,交出職務或政權。,上台
下台,交出職務或政權。,上臺
下台,交出職務或政權。,上台
下山,從山的高處向低處移動。,上山
下山,從山的高處向低處移動。,上山
下臺,結束表演，從臺上下來。,上台
下臺,結束表演，從臺上下來。,上臺
下臺,結束表演，從臺上下來。,登臺
下臺,結束表演，從臺上下來。,登台
下臺,結束表演，從臺上下來。,上臺
下臺,結束表演，從臺上下來。,上台
下臺,結束表演，從臺上下來。,登台
下臺,結束表演，從臺上下來。,登臺
下臺,交出職務或政權。,上台
下臺,交出職務或政權。,上臺
下臺,交出職務或政權。,上臺
下臺,交出職務或政權。,上台
下降,物體由較高處往低處垂直移動。,上昇
下降,物體由較高處往低處垂直移動。,上昇
下降,物體由較高處往低處垂直移動。,上升
下降,物體由較高處往低處垂直移動。,上升
下降,物體由較高處往低處垂直移動。,升
下降,數量或數目減少。,上升
下降,數量或數目減少。,上昇
下降,數量或數目減少。,上升
下降,數量或數目減少。,上昇
下降,數量或數目減少。,升
下降,數量或數目減少。,提高
下降,數量或數目減少。,增高
下降,數量或數目減少。,增高
下降,數量或數目減少。,升級
下降,數量或數目減少。,增長
下降,數量或數目減少。,增長
下降,狀態的等級或地位降低。,上昇
下降,狀態的等級或地位降低。,上昇
下降,狀態的等級或地位降低。,上升
下降,狀態的等級或地位降低。,上升
下降,狀態的等級或地位降低。,升
下降,狀態的等級或地位降低。,晉
下降,狀態的等級或地位降低。,晉級
下面,被前述物體覆蓋住的物體的位置。,上面
下面,被前述物體覆蓋住的物體的位置。,上
下面,被前述物體覆蓋住的物體的位置。,上面
下面,被前述物體覆蓋住的物體的位置。,上
下面,同一物體內較低的部份。,上
下面,同一物體內較低的部份。,上面
下面,同一物體內較低的部份。,上面
下面,同一物體內較低的部份。,上
下面,鄰近前述物體的底部或低於該物體位置。,之上
下面,鄰近前述物體的底部或低於該物體位置。,上
下面,鄰近前述物體的底部或低於該物體位置。,上面
下面,鄰近前述物體的底部或低於該物體位置。,以上
下面,較低的或與天相反的方向。,上面
下面,較低的或與天相反的方向。,上面
下面,較低的或與天相反的方向。,上
下面,較低的或與天相反的方向。,上
下面,比喻地位或等級較低的人物。,上
下面,比喻地位或等級較低的人物。,上面
下面,比喻地位或等級較低的人物。,上
下面,比喻地位或等級較低的人物。,上面
下面,比喻階級架構較低的方向。,上
下面,比喻階級架構較低的方向。,上面
下面,比喻階級架構較低的方向。,上
下面,比喻階級架構較低的方向。,上面
下面,比喻階級架構中低於前述階級的階級。,以上
下面,比喻階級架構中低於前述階級的階級。,以上
下面,比喻順序較後的方向。,上
下面,比喻順序較後的方向。,上面
下面,比喻順序較後的方向。,上面
下面,比喻順序較後的方向。,上
下面,比喻數量較少的方向。,上
下面,比喻數量較少的方向。,上面
下面,比喻數量較少的方向。,上面
下面,比喻數量較少的方向。,上
下面,比喻程度較低的方向。,上
下面,比喻程度較低的方向。,上面
下面,比喻程度較低的方向。,上面
下面,比喻程度較低的方向。,上
下面,比喻在參考點之後的文本順序。,上
下面,比喻在參考點之後的文本順序。,上面
下面,比喻在參考點之後的文本順序。,以上
下面,比喻在參考點之後的文本順序。,上
下面,比喻在參考點之後的文本順序。,上面
下面,比喻在參考點之後的文本順序。,以上
不佳,形容對特定對象的評價不是正面的。,佳
不便,形容困難或無法達到使用目的。,便利
不便,形容困難或無法達到使用目的。,方便
不便,形容困難或無法達到使用目的。,便宜
不便,形容委婉表達主事者有所顧忌。,方便
不便,形容委婉表達主事者有所顧忌。,方便
不便,形容比喻沒有多餘可應用的金錢。,方便
不便,形容比喻沒有多餘可應用的金錢。,鬆
不便,形容比喻沒有多餘可應用的金錢。,寬
不便,形容比喻沒有多餘可應用的金錢。,方便
不便,形容比喻沒有多餘可應用的金錢。,鬆
不便,形容比喻沒有多餘可應用的金錢。,寬
不僅,表超過後述數目。,單
不僅,表超過後述數目。,光
不僅,表超過後述數目。,單單
不僅,表超過後述數目。,只
不僅,表超過後述數目。,僅
不僅,表超過後述數目。,淨
不僅,表超過後述數目。,單單
不僅,表超過後述數目。,僅
不僅,表超過後述數目。,只
不僅,表超過後述數目。,單
不僅,表超過後述數目。,光
不僅,表超過後述數目。,淨
不僅僅,表超過後述數目。,單
不僅僅,表超過後述數目。,光
不僅僅,表超過後述數目。,單單
不僅僅,表超過後述數目。,只
不僅僅,表超過後述數目。,僅
不僅僅,表超過後述數目。,淨
不僅僅,表超過後述數目。,單單
不僅僅,表超過後述數目。,僅
不僅僅,表超過後述數目。,只
不僅僅,表超過後述數目。,單
不僅僅,表超過後述數目。,光
不僅僅,表超過後述數目。,淨
不光,表超過後述數目。,單
不光,表超過後述數目。,光
不光,表超過後述數目。,單單
不光,表超過後述數目。,只
不光,表超過後述數目。,僅
不光,表超過後述數目。,淨
不光,表超過後述數目。,單單
不光,表超過後述數目。,僅
不光,表超過後述數目。,只
不光,表超過後述數目。,單
不光,表超過後述數目。,光
不光,表超過後述數目。,淨
不到,時間沒有達到特定參考時點。,到
不到,時間沒有達到特定參考時點。,達
不到,時間沒有達到特定參考時點。,到
不到,時間沒有達到特定參考時點。,達
不到,引介動作或狀態沒有達到特定程度。表程度不高於已知的特定對象。,到
不到,引介動作或狀態沒有達到特定程度。表程度不高於已知的特定對象。,於
不到,引介動作或狀態沒有達到特定程度。表程度不高於已知的特定對象。,于
不到,引介動作或狀態沒有達到特定程度。表程度不高於已知的特定對象。,到
不到,引介動作或狀態沒有達到特定程度。表程度不高於已知的特定對象。,於
不到,引介動作或狀態沒有達到特定程度。表程度不高於已知的特定對象。,于
不及,形容沒有足夠的時間進行後述事件。,來得及
不及,形容沒有足夠的時間進行後述事件。,來得及
不只,表超過後述數目。,單
不只,表超過後述數目。,光
不只,表超過後述數目。,單單
不只,表超過後述數目。,只
不只,表超過後述數目。,僅
不只,表超過後述數目。,淨
不只,表超過後述數目。,單單
不只,表超過後述數目。,僅
不只,表超過後述數目。,只
不只,表超過後述數目。,單
不只,表超過後述數目。,光
不只,表超過後述數目。,淨
不可,表不允許後述事件發生。,使得
不可,表不允許後述事件發生。,容許
不可,表不允許後述事件發生。,可以
不可,表不允許後述事件發生。,容
不可,表不允許後述事件發生。,使得
