word,antonym
a la carte,table d'hote
a posteriori,a priori
a posteriori,a priori
a priori,a posteriori
a priori,a posteriori
abactinal,actinal
abaxial,adaxial
abbreviated,expand
abducent,adducent
abducting,adduct
abducting,adducent
abient,adient
able,unable
abnormal,normal|normal
aboral,oral
aboriginal,nonnative
above,below|below
aboveboard,dishonestly
abranchial,branchiate
abranchiate,branchiate
abranchious,branchiate
abridged,expand
abridged,unabridged
absent,present
absolute,relative
absolved,blame
absorbable,adsorbable
absorbed,emit
absorbent,nonabsorbent
absorbing,emit
absorptive,nonabsorbent
abstemious,gluttonous
abstinent,drinker
abstract,concrete
abundant,scarce
abused,unabused
acarpellous,carpellate
acarpelous,carpellate
acatalectic,catalectic
acaudal,caudate
acaudate,caudate
acaulescent,caulescent
accelerated,decelerate|decelerate
accented,atonic|unstressed
accentual,quantitative
acceptable,unacceptable
accepted,reject|refuse|refuse
accepting,reject|refuse|refuse
acceptive,rejective
accessible,inaccessible
accommodating,disoblige
accommodating,unaccommodating
accommodative,unaccommodating
accompanied,unaccompanied|unaccompanied
accordant,discordant
accurate,inaccurate
accusatorial,inquisitorial
accustomed,unaccustomed
acellular,cellular
achlamydeous,chlamydeous
achondritic,chondritic
achromatic,chromatic
achromatinic,chromatinic
acid-loving,alkaline-loving
acidic,alkaline
acknowledged,deny
acknowledged,unacknowledged
acquired,lose
acquisitive,unacquisitive
acquitted,convict
acrocarpous,pleurocarpous
acropetal,basipetal
acroscopic,basiscopic
actable,unactable
actinal,abactinal
acting,refrain
actinomorphic,zygomorphic
actinomorphous,zygomorphic
activated,inactivate
activating,inactivate
active,passive voice
active,inactive|passive|inactive|inactive|inactive|quiet|passive|stative|extinct|dormant|inactive
actual,potential
acute,chronic|obtuse
acyclic,cyclic|cyclic
adaptable,unadaptable
adaptative,maladaptive
adaptive,maladaptive
adaxial,abaxial
addicted,unaddicted
addictive,nonaddictive
additive,nonlinear|subtractive
addressed,unaddressed
adducent,abducent
adducting,abduct
adducting,abducent
adductive,abducent
adequate,inadequate
adhesive,nonadhesive
adiabatic,diabatic
adient,abient
adjective,substantive
adjusted,skew
adjusted,unadjusted|maladjusted
admired,look down on
admissible,inadmissible
adnate,connate
adoptable,unadoptable
adopted,native
adoptive,biological|native
adorned,unadorned
adroit,maladroit
adscript,superscript
adsorbable,absorbable
adsorbate,absorbable
adsorbent,nonadsorbent
adsorptive,nonadsorbent
adult,juvenile
adulterant,purifying
adulterating,purifying
advance,retreat
advance,recede|back|fall back|regress|demote
advanced,recede|back|fall back|regress|demote
advancing,recede|back|fall back|regress|demote
advantageous,disadvantageous
adventuresome,unadventurous
adventurous,unadventurous
advisable,inadvisable
advised,ill-advised
adynamic,dynamic
aerobic,anaerobic|anaerobic
aerophilic,anaerobic
aerophilous,anaerobic
aesthetic,inaesthetic
aesthetical,inaesthetic
afebrile,febrile
affected,unaffected|unaffected|unmoved
afferent,efferent
affirmative,negative
affirmative,negative
affirmatory,negative
affixed,unaffixed
affluent,distributary
afloat,aground
afraid,unafraid
aft,fore
aft,fore
aged,young
aged,rejuvenate
ageing,rejuvenate
aggravated,better
aggravating,better
aggressive,unaggressive
aging,rejuvenate
agitated,calm
agitated,unagitated|unagitated
agitating,calm
agnostic,gnostic
agnostical,gnostic
agreeable,disagreeable
agreed,disagree|disagree
aground,afloat
ahead,back;backward
ahistorical,historical
aided,unassisted
air-to-air,surface-to-air
air-to-ground,air-to-air
air-to-surface,air-to-air
airworthy,unairworthy
alarming,unalarming
alcoholic,nonalcoholic
alert,unalert
alfresco,inside;indoors
algorithmic,heuristic
alien,citizen|acquaintance
alienable,inalienable
aligned,skew
aligned,nonaligned
aligning,skew
alike,unalike
aliquot,aliquant
alive,dead|unanimated
alkalic,amphoteric
alkaline,amphoteric
alkaline-loving,acid-loving
all,some
all,partly
allochthonous,autochthonous
allogeneic,xenogeneic
allopathic,homeopathic
allopatric,sympatric
allowable,impermissible
alphabetic,analphabetic|analphabetic
alphabetical,analphabetic|analphabetic
alterable,unalterable
altered,unaltered
alternate,opposite
alternating,direct
altricial,precocial
altruistic,egoistic
amateur,professional
ambidextrous,right-handed
ambiguous,unequivocal|unambiguous
ambitionless,ambitious
ambitious,unambitious
ambiversive,introversive
ameliorating,worsen|worsen
amended,worsen
amended,unamended
ametabolic,metabolic
ametabolous,metabolic
ametropic,emmetropic
amicable,hostile
amiss,perfectly
amphibious,aquatic
amphiprotic,acidic
amphitropous,anatropous
amphoteric,acidic
ample,meager
anabatic,katabatic
anabolic,catabolic
anaclinal,cataclinal
anadromous,catadromous
anaerobic,aerobic|aerobic
anaerobiotic,aerobic
anal,oral
anal retentive,oral
analog,digital
analogous,homologous
analogue,digital
analphabetic,alphabetic|alphabetic
analytic,synthetic|synthetic|synthetic
analytical,synthetic|synthetic
analyzed,synthesize
analyzed,unanalyzed
anaphrodisiac,aphrodisiac
anastigmatic,astigmatic
anatropous,amphitropous
androgynous,male
anemophilous,entomophilous
anestrous,estrous
anglican,Nonconformist
angry,unangry
angular,rounded
angulate,rounded
anhydrous,hydrous
animate,deaden
animate,inanimate|inanimate|insentient
animated,deaden
animated,unanimated
animating,deaden
anionic,cationic
anisotropic,isotropic
annual,biennial
anodal,cathodic
anodic,cathodic
anon.,onymous
anonymous,onymous
anorthic,monoclinic
antagonistic,conciliatory|synergistic
antecedent,descendant
antecedent,subsequent
antemeridian,postmeridian
antemortem,postmortem
antenatal,perinatal
antenuptial,postnuptial
antepartum,perinatal
anterior,posterior
anterograde,retrograde
anti,pro
anti-american,pro-American
anticholinergic,cholinergic
anticlimactic,climactic
anticlinal,synclinal
anticlockwise,clockwise
