word,antonym
flawed,perfect
orthodox,unorthodox
true,false
daily,nightly
distribution,concentration
valid,invalid
expand,contract
practical,impractical
privilege,disadvantage
mammoth,tiny
unrelated,related
overnight,daytime
other,same
square,circle
hollow,solid
difficult,easy
luxury,poverty
stimulate,inhibit
proceed,halt
fertile,infertile
empirical,theoretical
pretty,ugly
clinical,emotional
lucky,unlucky
tail,head
privacy,publicity
undergraduate,graduate
encourage,discourage
insecure,secure
professional,amateur
rapid,slow
worthless,valuable
compressed,expanded
prose,poetry
watch,ignore
beast,beauty
pro,con
silent,noisy
inflammatory,anti-inflammatory
remain,leave
wrong,right
whisper,shout
sentimental,unemotional
fascism,democracy
super,inferior
uncle,aunt
exit,entry
matter,antimatter
prominence,obscurity
demise,birth
secular,religious
departure,arrival
bear,deer
figure,ground
conspicuous,inconspicuous
boom,whisper
cloudy,clear
unreasonable,reasonable
forward,backward
wide,narrow
relent,persist
disappoint,satisfy
durable,fragile
loaded,empty
big,small
avoid,seek
invent,destroy
falsehood,truth
learn,forget
out,in
naked,clothed
sink,float
quarrel,peace
antidote,poison
genuine,fake
furious,calm
trust,distrust
vague,specific
grandmother,grandfather
ignore,pay attention
foul,fair
south,north
laugh,cry
indistinguishable,distinguishable
red,blue
disable,enable
visible,invisible
restore,destroy
unconscious,conscious
prosecution,defense
daylight,nighttime
appearance,disappearance
lessen,increase
wealthy,poor
bisexual,monosexual
anal,oral
merit,demerit
authorized,unauthorized
undesirable,desirable
unequal,equal
inflation,deflation
unfold,fold
express,suppress
northwestern,southeastern
majority,minority
applied,theoretical
explosive,stable
spare,occupied
seasoned,unseasoned
distribute,collect
celestial,terrestrial
robust,fragile
dysfunction,function
knockout,revival
spiral,straight
mainland,island
penalty,reward
colored,colorless
defunct,operational
arithmetic,algebra
faulty,flawless
legislative,executive
distance,proximity
cut,heal
postpone,advance
record,erase
disregard,consider
borrow,lend
previous,next
reliable,unreliable
regress,progress
exacerbate,alleviate
dangerous,safe
blessed,cursed
opposite,similar
west,east
unemployment,employment
cow,bull
first,last
possibility,impossibility
foreground,background
illustrious,unknown
barbaric,civilized
longtime,short time
indifferent,passionate
unlimited,limited
breach,comply
frontal,rear
only,many
limited,unlimited
dotted,solid
contingent,inevitable
straight,curved
summer,winter
unlikely,likely
old,new
earthly,celestial
observational,theoretical
centrist,extremist
view,blindness
medial,lateral
extraordinary,ordinary
abolish,establish
cry,laugh
undo,do
cheer,jeer
force,gentleness
hooked,unhooked
mistaken,correct
eldest,youngest
fried,raw
classify,disorganize
loosen,tighten
broaden,narrow
approval,disapproval
eastern,western
polar,equatorial
unbelievable,believable
temporal,eternal
link,unlink
detain,release
outgoing,introverted
barren,fertile
white,black
intuitive,counterintuitive
outlaw,law-abiding citizen
illegal,legal
concept,reality
authorize,prohibit
intelligent,unintelligent
undue,due
contrast,similarity
absent,present
convergence,divergence
shy,outgoing
mixed,pure
head,tail
contemporary,traditional
shameful,honorable
supreme,inferior
procedural,conceptual
ancestor,descendant
segregation,integration
give,take
marginal,central
bent,straight
tomorrow,yesterday
lower,upper
permanent,temporary
lend,borrow
civil,uncivilized
fictitious,real
dormant,active
employment,unemployment
complexity,simplicity
defy,comply
conventional,unconventional
expected,unexpected
automated,manual
bra,panties
include,exclude
pride,humility
outcome,input
obey,disobey
destroy,create
deduct,add
lesbian,straight
unlucky,lucky
specialize,generalize
unable,able
superhuman,human
inverse,direct
least,most
irrational,rational
stale,fresh
exclusive,inclusive
sturdy,fragile
literary,illiterate
regular,irregular
align,misalign
impossible,possible
martial,civilian
frustrated,satisfied
fake,real
veto,approve
approximate,exact
gradual,sudden
impractical,practical
smile,frown
legitimate,illegitimate
limp,stiff
improbable,probable
commence,conclude
put,take
cover,uncover
lightweight,heavyweight
acceptance,rejection
permission,prohibition
manned,unmanned
numerous,few
divest,invest
tropical,polar
likely,unlikely
worsen,improve
decode,encode
excessive,insufficient
defend,attack
southeastern,northwestern
predictive,reactive
divergence,convergence
intensive,relaxed
abandon,keep
fore,aft
criticize,praise
used,new
childbirth,death
hope,despair
extant,extinct
complex,simple
tacit,explicit
nighttime,daytime
premature,mature
comic,tragic
personal,impersonal
weak,strong
invisible,visible
taxable,nontaxable
leading,following
lord,servant
advance,retreat
intense,mild
definite,indefinite
rectangular,circular
mortal,immortal
inward,outward
excess,deficiency
folly,wisdom
question,answer
violate,comply
digital,analog
intensify,diminish
like,dislike
short,long
mean,kind
jam,jelly
all,none
disinfect,contaminate
longitudinal,latitudinal
redundant,essential
simplify,complicate
external,internal
interesting,boring
muscular,frail
stalk,root
establish,dismantle
displeasure,pleasure
appear,disappear
convenient,inconvenient
cease,continue
insignificant,significant
borrower,lender
imaginative,practical
slow,fast
united,divided
park,home
float,sink
solitary,social
frog,toad
rear,front
naughty,nice
eccentric,conventional
sinister,benevolent
hit,miss
tragedy,comedy
conservative,liberal
same,different
idle,busy
end,beginning
proactive,reactive
counterfeit,genuine
plateau,valley
collect,disperse
problem,solution
unavailable,available
visceral,cerebral
dramatic,subtle
risky,safe
revolutionary,traditional
central,peripheral
varied,uniform
unmanned,manned
disadvantaged,advantaged
infrared,ultraviolet
weakness,strength
epidemic,endemic
slowing,speeding
bare,covered
contradict,agree
draw,erase
squat,stand
garner,squander
strike,spare
show,hide
loss,gain
ambiguous,clear
leftist,rightist
upstream,downstream
infinite,finite
desirable,undesirable
pure,impure
opacity,transparency
inland,coastal
harmful,beneficial
notice,ignore
brave,cowardly
ongoing,completed
advantage,disadvantage
contiguous,disjointed
main,secondary
pleasure,pain
noise,silence
wise,foolish
convoluted,straightforward
refuse,accept
solder,desolder
transmitter,receiver
petty,significant
numerical,non-numerical
instability,stability
install,uninstall
simplistic,complex
lodge,shelter
employ,unemploy
decline,increase
top,bottom
compatible,incompatible
geographic,non-geographic
preliminary,final
fugitive,law-abiding citizen
joy,sorrow
calm,agitated
need,have
background,foreground
forfeit,claim
concrete,abstract
widespread,limited
quantitative,qualitative
clear,cloudy
kind,cruel
melody,discord
obsolete,modern
competition,cooperation
able,unable
endless,finite
inaction,action
indicate,conceal
legalize,criminalize
reciprocal,direct
southern,northern
rising,falling
recession,boom
payment,receipt
official,unofficial
safety,danger
column,row
authoritarian,libertarian
wreck,preserve
constant,variable
explicit,implicit
sob,laugh
freeze,melt
proponent,opponent
defective,functional
immoral,moral
various,uniform
bald,hairy
contract,expand
mature,immature
separate,together
refined,crude
strengthen,weaken
prohibition,permission
narrowing,widening
heterosexual,homosexual
reverse,forward
coloured,monochrome
speedy,lethargic
invalid,valid
inappropriate,appropriate
regulated,unregulated
kick,catch
suitable,unsuitable
cruelty,kindness
aboriginal,non-aboriginal
terrible,wonderful
mother,father
massive,tiny
inquiry,response
unspecified,specified
absurd,sensible
birth,death
static,dynamic
female,male
agricultural,industrial
accustomed,unaccustomed
verbal,nonverbal
conception,birth
next,previous
immortality,mortality
transient,permanent
moist,dry
heated,cooled
independent,dependent
evasion,confrontation
observe,ignore
fact,fiction
insertion,removal
borrowing,lending
surgical,non-surgical
contraction,expansion
liberal,conservative
murky,clear
arise,settle
traitor,loyalist
distrust,trust
disbelief,belief
gritty,smooth
psychological,physical
favorite,least favorite
confirm,deny
major,minor
granddaughter,grandfather
descend,ascend
recommend,discourage
absorb,release
swift,sluggish
satisfy,dissatisfy
enlarge,shrink
software,hardware
total,partial
bomb,disarm
present,past
emit,absorb
descriptive,nondescriptive
generic,specific
distant,near
glossy,matte
tender,tough
devil,angel
clandestine,overt
liquid,solid
patient,impatient
attract,repel
resilient,fragile
segregated,integrated
adequate,inadequate
inspiration,despair
sticky,slippery
chronic,acute
covered,exposed
auxiliary,primary
preserve,destroy
hard,soft
antagonist,protagonist
cause,effect
unpredictable,predictable
agree,disagree
intermittent,continuous
sterile,contaminated
intangible,tangible
harvest,planting
mono,stereo
incidental,essential
fix,break
hypothetical,realistic
disappear,appear
validate,invalidate
transparent,opaque
height,depth
sickness,health
traditional,modern
clumsy,graceful
upside,downside
ordinary,extraordinary
immunity,susceptibility
unarmed,armed
inconsistent,consistent
measurable,immeasurable
confident,insecure
senior,junior
enter,exit
reliant,independent
experienced,inexperienced
remove,add
wholesale,retail
fancy,plain
blame,praise
oversized,undersized
mixture,pure
shallow,deep
equip,disarm
finished,unfinished
field,city
steady,unsteady
complain,praise
superficial,deep
lifeless,lively
cool,warm
constructive,destructive
transparency,opacity
diminish,increase
lasting,temporary
written,spoken
assemble,disassemble
sane,insane
day,night
past,future
deflation,inflation
divide,multiply
everything,nothing
downhill,uphill
halt,proceed
catch,release
mark,unmark
awkward,graceful
pass,fail
medical,non-medical
attach,detach
tight,loose
mend,break
fat,thin
rough,smooth
none,all
unprepared,prepared
normal,abnormal
relieve,aggravate
fresh,stale
monarch,commoner
corrupt,honest
elaborate,simple
require,exempt
complicated,simple
direct,indirect
physical,mental
troublesome,easygoing
build,destroy
fall,rise
weakened,strengthened
damned,blessed
detached,attached
nonviolent,violent
bulk,individual
rugged,smooth
foot,hand
extended,contracted
substantive,insubstantial
international,domestic
inexpensive,expensive
reduce,increase
sober,drunk
important,unimportant
imperfect,perfect
patriot,traitor
hatred,love
underdog,favorite
retreat,advance
equal,unequal
darkness,lightness
occasional,frequent
unpaid,paid
minimal,maximal
foster,hinder
near,far
son,daughter
tired,energetic
chilly,warm
lively,dull
king,queen
liking,disliking
soil,sky
religious,secular
antique,modern
viewing,ignoring
servicing,neglecting
insane,sane
civilian,military
crude,refined
landscape,portrait
agreement,disagreement
volatile,stable
obese,skinny
open,closed
yesterday,tomorrow
scatter,gather
wish,regret
involved,uninvolved
adult,child
reward,punishment
deprive,provide
grant,deny
giant,dwarf
dusty,clean
everyday,occasional
improvement,deterioration
enlarged,shrunk
curious,indifferent
winner,loser
regain,lose
unfocused,focused
logical,illogical
instrumental,vocal
union,division
unhealthy,healthy
supernatural,natural
comparable,incomparable
cold,warm
rich,poor
soft,hard
parallel,perpendicular
stiff,flexible
inadequate,adequate
concentrated,diluted
conceal,reveal
boy,girl
sanity,insanity
resolution,problem
keen,apathetic
hot,cool
creditor,debtor
genius,fool
brittle,durable
cockpit,cabin
laughter,tears
broken,fixed
unwelcome,welcome
incompetent,competent
root,tip
feature,bug
catalyst,inhibitor
crooked,straight
elder,younger
immature,mature
avert,embrace
prepared,unprepared
heroic,cowardly
debtor,creditor
graduate,undergraduate
translucent,opaque
unite,divide
recent,ancient
cowardly,brave
flawless,flawed
authentic,fake
approve,disapprove
multiply,divide
default,customized
improper,proper
prefix,suffix
broke,wealthy
dumb,smart
icy,warm
net,gross
economic,uneconomic
inhuman,human
minimum,maximum
unorthodox,orthodox
marry,divorce
method,chaos
legendary,ordinary
extra,lacking
underlying,overt
accurate,inaccurate
clarity,confusion
lineman,receiver
casual,formal
pain,pleasure
widening,narrowing
defendant,plaintiff
blessing,curse
spiritual,materialistic
certainty,uncertainty
frank,evasive
objective,subjective
disconnect,connect
stern,lenient
miserable,joyful
moderate,extreme
worldwide,local
treacherous,trustworthy
foe,friend
